Designator,Mid X,Mid Y,Rotation,Layer
C1,173.1,-136.05,-90,top
C2,174.8,-136.0825,90,top
C3,175.7,-131.6,90,top
C4,177.55,-132.9175,-90,top
C5,132.825,-147.89,0,top
C6,132.7875,-150.39,0,top
C7,141.8625,-143.4,180,top
C8,141.8625,-140.39,180,top
C9,185.2625,-84.75,180,top
C10,184.8325,-86.35,180,top
C11,147.816377,-54.416377,135,top
C12,151.798717,-55.751283,45,top
C13,116.1,-85,0,top
C14,116.15,-86.65,0,top
C15,154.6825,-137.55,0,top
C16,152.1625,-142.15,0,top
C17,149.2,-142.9125,-90,top
C18,155.585,-135.4,0,top
D1,182,-146.9,0,top
D2,185.8,-80.4,180,top
D3,143.2,-57.8,45,top
D4,155.125,-56,-45,top
D5,114.225,-80.7,0,top
D6,135.975,-65.9,180,top
J1,122,-135.5,0,top
J2,122.2,-146.1,0,top
Q1,120.025,-78.2,0,top
Q2,116.95,-95.15,180,top
Q3,180,-78.2,180,top
Q4,185.55,-95.2,0,top
Q5,155.17,-66.18,90,top
Q6,136.6,-59.5,45,top
Q7,161.903949,-57.503949,-45,top
Q8,175.9,-148.25,-90,top
R1,134.9,-62.1025,-90,top
R2,160.803984,-61.803984,135,top
R3,178.6,-82.9,-90,top
R4,140.4,-61.9,-135,top
R5,126.35,-69.7,90,top
R6,188.85,-94.2525,-90,top
R7,175.06,-144.43,180,top
R8,171.39,-70.92,180,top
R9,147.85,-67.02,-90,top
R10,148.34,-59.5825,-90,top
R11,150.78,-59.6325,-90,top
R12,112.9,-94.5525,90,top
R13,120.45,-90.35,180,top
U1,150.15,-87.21,90,top
U2,167.525,-137.95,90,top
U3,150.6,-137.05,0,top
U4,134.875,-141.79,0,top
