Designator,Comment,Footprint,LCSC
C1,10uF,Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,C7171
C2,100nF,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C307331
C3,10uF,Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,C7171
C4,100nF,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C307331
C5,10uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C440198
C6,100nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C495959
C7,100nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C495959
C8,10uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C440198
C9,4u7,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1779
C10,100nF,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C307331
C11,4u7,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1779
C12,100nF,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C307331
C13,4u7,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1779
C14,100nF,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C307331
C15,100n,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C307331
C16,100n,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C495959
C17,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1710
C18,2n2,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28260
D1,1N4148WS,Diode_SMD:D_SOD-323_HandSoldering,C2128
D2,5MM Emitter,LED_THT:LED_D5.0mm_IRBlack,
D3,5MM Emitter,LED_THT:LED_D5.0mm_IRBlack,
D4,5MM Emitter,LED_THT:LED_D5.0mm_IRBlack,
D5,5MM Emitter,LED_THT:LED_D5.0mm_IRBlack,
D6,LED_GREEN,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2297
J1,B2B,Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,C158012
J2,B2B,Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,C158012
Q1,TEFT4300,LED_THT:LED_D3.0mm_Clear,C118301
Q2,DMN1019USN-7,SPX3819M5-L-5-0:SOT95P285X140-3N,C145103
Q3,TEFT4300,LED_THT:LED_D3.0mm_Clear,C118301
Q4,DMN1019USN-7,SPX3819M5-L-5-0:SOT95P285X140-3N,C145103
Q5,DMN1019USN-7,SPX3819M5-L-5-0:SOT95P285X140-3N,C145103
Q6,TEFT4300,LED_THT:LED_D3.0mm_Clear,C118301
Q7,TEFT4300,LED_THT:LED_D3.0mm_Clear,C118301
Q8,DMN1019USN-7,SPX3819M5-L-5-0:SOT95P285X140-3N,C145103
R1,1K,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C11702
R2,2K,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17944
R3,2K,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17944
R4,2K,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17944
R5,2K,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17944
R6,10 ohm,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C136903
R7,51k,Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,C20435
R8,51k,Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,C20435
R9,51k,Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,C20435
R10,5.6ohm,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25175
R11,5.6ohm,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25175
R12,10 ohm,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C136903
R13,51k,Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,C20435
U1,Pico,MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH,C7203003
U2,TB6612FNG,Package_SO:SSOP-24_5.3x8.2mm_P0.65mm,C141517
U3,MPU-6050,Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm,C24112
U4,AMS1117-5.0,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6187
